Sort,VcfOrder,SampID,Voucher,Year_coll,Cluster,Species,County,Ecoregion,Longitude,Latitude
134,MVZCCGP-CaOr45_I-C05,MVZCCGP-CaOr45_I-C05,MVZ:Bird:181732,2004,CC_NWCal,Callipepla_californica,Mendocino County,Northern California Coast,-123.62557,39.65349
135,MVZCCGP-CaOr46_I-D05,MVZCCGP-CaOr46_I-D05,2021_sample,2021,CC_SN,Callipepla_californica,Siskiyou County,Modoc Plateau,-121.496529,41.257263
136,MVZCCGP-CaOr78_II-H01,MVZCCGP-CaOr78_II-H01,SDMNH:Bird:55027,2017,CC_SoCal,Callipepla_californica,San Diego County,Southern California Coast,-117.0733,32.9328
137,MVZCCGP-CaOr152_II-B04,MVZCCGP-CaOr152_II-B04,MWFB:Bird:13008,2018,CC_NWCal,Callipepla_californica,Butte County,Great Valley,-121.73079,39.613304
138,MVZCCGP-CaOr18_I-E02,MVZCCGP-CaOr18_I-E02,LACM:Bird:114408,2006,CC_SN,Callipepla_californica,Inyo County,Mono,-118.3957214,37.3652992
139,MVZCCGP-CaOr5_I-D01,MVZCCGP-CaOr5_I-D01,MVZ:Bird:182792,2003,CC_NWCal,Callipepla_californica,Contra Costa County,Central Valley Coast Ranges,-121.929581,37.821234
140,MVZCCGP-CaOr57_II-B01,MVZCCGP-CaOr57_II-B01,SDMNH:Bird:52537,2010,CC_SoCal,Callipepla_californica,Riverside County,Southern California Mountains and Valleys,-116.8444,33.9082
141,MVZCCGP-CaOr99_I-D10,MVZCCGP-CaOr99_I-D10,MVZ:Bird:190105,2007,CC_NWCal,Callipepla_californica,Tehama County,Sierra Nevada Foothills,-122.17383,40.29744
142,MVZCCGP-CaOr156_II-A06,MVZCCGP-CaOr156_II-A06,MWFB:Bird:15491,2019,CC_SN,Callipepla_californica,Madera County,Sierra Nevada Foothills,-119.7156,37.342407
143,MVZCCGP-CaOr161_II-B06,MVZCCGP-CaOr161_II-B06,MWFB:Bird:12867,2015,CC_NWCal,Callipepla_californica,Yolo County,Great Valley,-121.99072,38.624535
144,MVZCCGP-CaOr62_II-D01,MVZCCGP-CaOr62_II-D01,SDMNH:Bird:53659,2012,hybrid,hybrid,Riverside County,Southern California Mountains and Valleys,-116.53667,33.73386
145,MVZCCGP-CaOr65_II-E01,MVZCCGP-CaOr65_II-E01,SDMNH:Bird:50640,2002,CC_SoCal,Callipepla_californica,San Diego County,Southern California Mountains and Valleys,-116.5363,33.075
146,MVZCCGP-CaOr8_II-E06,MVZCCGP-CaOr8_II-E06,MVZ:Bird:190747,2011,CC_NWCal,Callipepla_californica,Contra Costa County,Central California Coast,-121.9668183,37.8488095
147,MVZCCGP-CaOr118_I-G11,MVZCCGP-CaOr118_I-G11,SBCM:Bird:60117,2008,Gambels,Callipepla_gambelii,San Bernardino County,Mojave Desert,-115.113,34.52
148,MVZCCGP-CaOr120_I-A12,MVZCCGP-CaOr120_I-A12,SDNHM:Bird:54874,2016,Gambels,Callipepla_gambelii,San Bernardino County,Mojave Desert,-115.54645,35.31684
